SA1_MAINCODE_2016,Distance (km),February (min),August (min),"Change, February to August (min)"
80107108407,21.656,48,61,13
80107108408,21.626,48,58,10
80107108409,23.71,55,60,5
80107108410,22.513,51,64,13
80107108411,23.137,54,63,9
80107108412,22.532,49,68,19
80107108413,22.253,50,70,20
80107108414,23.306,55,61,6
80107108415,23.188,51,57,6
80107108417,22.246,46,58,12
80107108418,21.379,45,55,10
80107108419,23.369,53,64,11
80107108420,26.554,64,62,-2
80107108501,16.073,39,37,-2
80107108601,25.509,57,59,2
80107108602,24.784,55,58,3
80107108603,26.214,58,68,10
80107108604,25.683,63,64,1
80107108605,25.895,63,65,2
80107108701,30.069,58,62,4
80107108702,31.967,61,66,5
80107108703,32.519,64,67,3
80107108704,34.202,74,66,-8
80107108705,33.08,64,65,1
80107108706,31.268,61,58,-3
80107108707,29.526,57,69,12
80107108801,29.032,69,71,2
80107108802,29.169,71,73,2
80107108803,29.442,66,65,-1
80107108804,29.216,66,67,1
80107108805,30.105,68,66,-2
80107108806,27.285,63,72,9
80107108807,27.862,64,70,6
80107108808,27.966,67,72,5
80107108809,28.518,67,71,4
80107108810,27.689,63,68,5
80107109001,17.729,41,49,8
80107109002,17.738,40,42,2
80107109003,19.662,47,52,5
80107109004,21.619,47,52,5
80107109005,21.049,51,54,3
80107109006,21.668,54,50,-4
80107109007,21.904,43,46,3
80107109008,23.905,57,60,3
80107109009,19.917,46,44,-2
80107109010,18.901,42,47,5
80107109011,21.747,54,52,-2
80107109012,19.654,42,47,5
80107109013,18.999,45,50,5
80107109014,18.107,43,40,-3
80107109015,20.546,54,50,-4
80107109016,20.135,49,45,-4
80107109017,18.077,41,38,-3
80107109018,18.451,41,45,4
80107109019,18.131,40,44,4
80107109020,21.644,54,53,-1
80107113202,20.786,49,NA,NA
80108109101,22.465,59,33,-26
80108109102,21.51,54,45,-9
80108109103,20.724,51,48,-3
80108109104,18.701,48,40,-8
80108109105,21.844,60,44,-16
80108109106,21.311,56,38,-18
80108109107,20.319,52,45,-7
80108109108,20.627,56,45,-11
80108109201,17.289,42,27,-15
80108109202,19.932,48,27,-21
80108109203,20.968,50,22,-28
80108109204,17.639,50,24,-26
80108109205,17.077,37,36,-1
80108109206,16.478,36,35,-1
80108109207,16.985,43,32,-11
80108109208,16.509,37,38,1
80108109209,13.638,36,39,3
80108109210,17.152,46,35,-11
80108109301,17.24,43,40,-3
80108109302,16.026,39,40,1
80108109303,16.185,42,43,1
80108109304,16.986,46,43,-3
80108109305,17.3,44,39,-5
80108109306,16.532,41,41,0
80108109401,22.107,47,28,-19
80108109402,11.925,23,25,2
80108109403,13.656,35,30,-5
80108109404,21.752,42,24,-18
80108109405,12.605,32,26,-6
80108109406,14.018,39,34,-5
80108109407,17.706,42,29,-13
80108109501,17.957,48,42,-6
80108109502,17.95,48,42,-6
80108109503,17.681,47,37,-10
80108109504,17.972,45,33,-12
80108109505,16.53,40,24,-16
80108109506,17.931,48,39,-9
80108109507,16.741,42,26,-16
80108109508,17.551,45,30,-15
80108109509,17.82,49,30,-19
80108109601,23.165,45,26,-19
80108109602,23.151,45,26,-19
80108109603,23.618,51,32,-19
80108109604,18.991,47,35,-12
80108109605,18.497,45,39,-6
80108109701,15.292,35,40,5
80108109702,14.847,39,40,1
80108109703,14.485,38,42,4
80108109705,15.728,46,31,-15
80108109706,13.891,34,35,1
80108109707,14.75,37,33,-4
80108109708,15.201,42,27,-15
80108109801,22.919,44,19,-25
80108109802,12.424,30,20,-10
80108109804,13.986,42,30,-12
80108109806,22.65,38,18,-20
80108109807,14.883,37,24,-13
80108109808,14.53,37,31,-6
80108109809,14.868,38,25,-13
80108109810,12.632,34,25,-9
80108109811,11.259,22,18,-4
80108109812,12.581,33,24,-9
80108109813,11.775,29,25,-4
80108109814,12.868,36,26,-10
80108113301,14.11,50,54,4
80109109901,13.459,38,41,3
80109109902,14.008,39,37,-2
80109109903,14.175,40,43,3
80109109904,14.051,39,42,3
80109109905,13.215,36,39,3
80109110001,12.618,46,35,-11
80109110002,13.009,37,34,-3
80109110003,12.457,37,35,-2
80109110004,11.083,30,28,-2
80109110005,13.284,43,41,-2
80109110006,11.11,31,35,4
80109110007,11.709,38,36,-2
80109110008,11.195,40,29,-11
80109110009,11.143,40,29,-11
80109110010,11.955,44,35,-9
80109110011,13.263,39,32,-7
80109110012,12.338,42,31,-11
80109110101,16.103,44,41,-3
80109110102,20.483,50,61,11
80109110104,16.706,48,45,-3
80109110105,16.347,49,45,-4
80109110106,15.668,39,36,-3
80109110107,15.489,33,30,-3
80109110108,20.489,50,60,10
80109110109,16.721,50,48,-2
80109110110,16.322,44,41,-3
80109110201,11.856,55,61,6
80109110202,13.565,38,47,9
80109110203,12.647,41,40,-1
80109110204,12.895,48,47,-1
80109110205,11.909,37,37,0
80109110206,12.011,39,38,-1
80109110207,13.056,40,40,0
80109110209,12.795,44,43,-1
80109110210,14.979,39,38,-1
80109110211,12.917,39,38,-1
80109110301,13.926,40,35,-5
80109110302,11.366,36,36,0
80109110303,11.905,37,49,12
80109110304,10.519,37,36,-1
80109110305,11.12,35,35,0
80109110306,13.109,41,30,-11
80109110307,11.442,37,36,-1
80109110308,11.027,34,34,0
80109110401,16.675,42,51,9
80109110402,17.958,44,53,9
80109110403,18.574,46,54,8
80109110404,19.11,47,56,9
80109110405,18.53,45,54,9
80109110406,18.253,51,59,8
80109110501,13.711,52,49,-3
80109110502,11.318,33,31,-2
80109110503,10.779,26,24,-2
80109110504,10.89,28,26,-2
80109110505,12.198,33,33,0
80109110506,12.103,32,37,5
80109110507,11.593,33,31,-2
80109110601,13.417,32,29,-3
80109110602,14.689,35,33,-2
80109110603,15.18,42,40,-2
80109110604,15.748,39,36,-3
80109110605,14.645,35,32,-3
80109110606,15.465,47,45,-2
80109110607,15.211,42,40,-2
80109110701,16.374,42,51,9
80109110702,16.459,50,58,8
80109110801,14.988,39,36,-3
80109110802,14.818,40,43,3
80109110803,15.487,40,44,4
80109110804,14.969,39,37,-2
80109110805,15.035,42,41,-1
80109110806,15.034,44,47,3
80109110807,13.807,37,35,-2
80109110901,12.008,28,29,1
80109110903,12.646,36,34,-2
80109110904,12.906,29,27,-2
80109110905,13.377,30,28,-2
80109110906,12.347,33,30,-3
80109110907,12.557,35,33,-2
80109110908,13.953,37,44,7
80109110910,13.846,37,35,-2
80109110911,11.123,27,25,-2
80109110912,12.167,30,28,-2
80109110913,14.013,39,37,-2
80109110914,11.781,25,23,-2
80109111001,15.764,36,33,-3
80109111002,15.372,35,32,-3
80109111003,16.21,43,46,3
80109111004,15.887,41,38,-3
80109111005,16.256,43,41,-2
80109111006,16.011,40,37,-3
80110113401,16.394,51,NA,NA
80110113501,12.89,26,20,-6
80110113502,13.184,29,23,-6
80110113503,14.078,31,24,-7
80110113504,13.962,30,23,-7
80110113505,14.401,35,28,-7
80110113601,17.614,52,34,-18
80110113701,16.63,40,28,-12
80110113901,16.142,36,24,-12
80110113902,12.882,26,20,-6
80110113903,12.615,22,16,-6
80110113904,13.093,29,23,-6
80110113905,13.695,28,21,-7
80110113906,14.17,34,27,-7
80110113907,13.612,26,19,-7
80110113908,13.862,30,23,-7
80110113909,13.74,27,21,-6
80110113910,13.606,26,19,-7
