seconds,m,minutes,hours,sa1_maincode_2016,SA2_NAME16,SA3_NAME16,SA4_NAME16
5626,81735,93.76666667,1.562777778,10201103237,Gosford - Springfield,Gosford,Central Coast
6875,84573,114.5833333,1.909722222,10201103238,Gosford - Springfield,Gosford,Central Coast
6547,85097,109.1166667,1.818611111,10201103239,Gosford - Springfield,Gosford,Central Coast
6305,84606,105.0833333,1.751388889,10201103240,Gosford - Springfield,Gosford,Central Coast
6120,83525,102,1.7,10201103241,Gosford - Springfield,Gosford,Central Coast
6253,83746,104.2166667,1.736944444,10201103242,Gosford - Springfield,Gosford,Central Coast
6411,83925,106.85,1.780833333,10201103243,Gosford - Springfield,Gosford,Central Coast
6423,81423,107.05,1.784166667,10201103244,Gosford - Springfield,Gosford,Central Coast
5642,81829,94.03333333,1.567222222,10201103245,Gosford - Springfield,Gosford,Central Coast
7342,89942,122.3666667,2.039444444,10201103246,Gosford - Springfield,Gosford,Central Coast
7625,90200,127.0833333,2.118055556,10201103247,Gosford - Springfield,Gosford,Central Coast
5863,82081,97.71666667,1.628611111,10201103248,Gosford - Springfield,Gosford,Central Coast
6836,89852,113.9333333,1.898888889,10201103301,Kariong,Gosford,Central Coast
6820,90254,113.6666667,1.894444444,10201103302,Kariong,Gosford,Central Coast
6999,89811,116.65,1.944166667,10201103303,Kariong,Gosford,Central Coast
7088,89664,118.1333333,1.968888889,10201103304,Kariong,Gosford,Central Coast
7130,92195,118.8333333,1.980555556,10201103305,Kariong,Gosford,Central Coast
6932,90925,115.5333333,1.925555556,10201103306,Kariong,Gosford,Central Coast
7200,92237,120,2,10201103307,Kariong,Gosford,Central Coast
6983,89534,116.3833333,1.939722222,10201103308,Kariong,Gosford,Central Coast
7190,89551,119.8333333,1.997222222,10201103309,Kariong,Gosford,Central Coast
6642,87848,110.7,1.845,10201103310,Kariong,Gosford,Central Coast
6975,91351,116.25,1.9375,10201103311,Kariong,Gosford,Central Coast
7177,91598,119.6166667,1.993611111,10201103312,Kariong,Gosford,Central Coast
7453,92278,124.2166667,2.070277778,10201103313,Kariong,Gosford,Central Coast
7111,91823,118.5166667,1.975277778,10201103314,Kariong,Gosford,Central Coast
6945,88898,115.75,1.929166667,10201103315,Kariong,Gosford,Central Coast
7206,88758,120.1,2.001666667,10201103316,Kariong,Gosford,Central Coast
6686,88766,111.4333333,1.857222222,10201103317,Kariong,Gosford,Central Coast
7023,90293,117.05,1.950833333,10201103318,Kariong,Gosford,Central Coast
7191,92276,119.85,1.9975,10201103319,Kariong,Gosford,Central Coast
7698,92585,128.3,2.138333333,10201103320,Kariong,Gosford,Central Coast
8106,103782,135.1,2.251666667,10201103401,Kincumber - Picketts Valley,Gosford,Central Coast
8172,104821,136.2,2.27,10201103402,Kincumber - Picketts Valley,Gosford,Central Coast
8367,105038,139.45,2.324166667,10201103403,Kincumber - Picketts Valley,Gosford,Central Coast
7616,94875,126.9333333,2.115555556,10201103404,Kincumber - Picketts Valley,Gosford,Central Coast
8618,104994,143.6333333,2.393888889,10201103405,Kincumber - Picketts Valley,Gosford,Central Coast
7842,103391,130.7,2.178333333,10201103406,Kincumber - Picketts Valley,Gosford,Central Coast
8769,98724,146.15,2.435833333,10201103407,Kincumber - Picketts Valley,Gosford,Central Coast
8560,103308,142.6666667,2.377777778,10201103408,Kincumber - Picketts Valley,Gosford,Central Coast
7724,101190,128.7333333,2.145555556,10201103409,Kincumber - Picketts Valley,Gosford,Central Coast
7792,102234,129.8666667,2.164444444,10201103410,Kincumber - Picketts Valley,Gosford,Central Coast
7653,102220,127.55,2.125833333,10201103411,Kincumber - Picketts Valley,Gosford,Central Coast
7774,101692,129.5666667,2.159444444,10201103412,Kincumber - Picketts Valley,Gosford,Central Coast
7444,93718,124.0666667,2.067777778,10201103413,Kincumber - Picketts Valley,Gosford,Central Coast
7582,94332,126.3666667,2.106111111,10201103414,Kincumber - Picketts Valley,Gosford,Central Coast
7522,94235,125.3666667,2.089444444,10201103415,Kincumber - Picketts Valley,Gosford,Central Coast
7673,94375,127.8833333,2.131388889,10201103416,Kincumber - Picketts Valley,Gosford,Central Coast
7385,94201,123.0833333,2.051388889,10201103417,Kincumber - Picketts Valley,Gosford,Central Coast
7891,103292,131.5166667,2.191944444,10201103418,Kincumber - Picketts Valley,Gosford,Central Coast
7940,104014,132.3333333,2.205555556,10201103419,Kincumber - Picketts Valley,Gosford,Central Coast
6707,86583,111.7833333,1.863055556,10201103501,Narara,Gosford,Central Coast
6294,86023,104.9,1.748333333,10201103502,Narara,Gosford,Central Coast
6672,86484,111.2,1.853333333,10201103503,Narara,Gosford,Central Coast
6421,86123,107.0166667,1.783611111,10201103504,Narara,Gosford,Central Coast
7105,87090,118.4166667,1.973611111,10201103505,Narara,Gosford,Central Coast
6836,85727,113.9333333,1.898888889,10201103506,Narara,Gosford,Central Coast
6411,85284,106.85,1.780833333,10201103507,Narara,Gosford,Central Coast
7076,86048,117.9333333,1.965555556,10201103508,Narara,Gosford,Central Coast
6172,84791,102.8666667,1.714444444,10201103509,Narara,Gosford,Central Coast
6282,84660,104.7,1.745,10201103510,Narara,Gosford,Central Coast
6162,84002,102.7,1.711666667,10201103511,Narara,Gosford,Central Coast
5900,85485,98.33333333,1.638888889,10201103512,Narara,Gosford,Central Coast
6312,85945,105.2,1.753333333,10201103513,Narara,Gosford,Central Coast
6197,85876,103.2833333,1.721388889,10201103514,Narara,Gosford,Central Coast
6190,85855,103.1666667,1.719444444,10201103515,Narara,Gosford,Central Coast
6424,86097,107.0666667,1.784444444,10201103516,Narara,Gosford,Central Coast
7718,87931,128.6333333,2.143888889,10201103517,Narara,Gosford,Central Coast
7226,89964,120.4333333,2.007222222,10201103601,Niagara Park - Lisarow,Gosford,Central Coast
7016,89669,116.9333333,1.948888889,10201103602,Niagara Park - Lisarow,Gosford,Central Coast
6558,87543,109.3,1.821666667,10201103603,Niagara Park - Lisarow,Gosford,Central Coast
7088,89672,118.1333333,1.968888889,10201103604,Niagara Park - Lisarow,Gosford,Central Coast
6259,88638,104.3166667,1.738611111,10201103605,Niagara Park - Lisarow,Gosford,Central Coast
6012,87011,100.2,1.67,10201103606,Niagara Park - Lisarow,Gosford,Central Coast
6418,88904,106.9666667,1.782777778,10201103608,Niagara Park - Lisarow,Gosford,Central Coast
7219,89739,120.3166667,2.005277778,10201103609,Niagara Park - Lisarow,Gosford,Central Coast
6606,87718,110.1,1.835,10201103610,Niagara Park - Lisarow,Gosford,Central Coast
6451,87589,107.5166667,1.791944444,10201103611,Niagara Park - Lisarow,Gosford,Central Coast
6198,87261,103.3,1.721666667,10201103612,Niagara Park - Lisarow,Gosford,Central Coast
8778,90403,146.3,2.438333333,10201103613,Niagara Park - Lisarow,Gosford,Central Coast
7126,89690,118.7666667,1.979444444,10201103614,Niagara Park - Lisarow,Gosford,Central Coast
6712,89327,111.8666667,1.864444444,10201103615,Niagara Park - Lisarow,Gosford,Central Coast
7011,89710,116.85,1.9475,10201103616,Niagara Park - Lisarow,Gosford,Central Coast
6746,89204,112.4333333,1.873888889,10201103618,Niagara Park - Lisarow,Gosford,Central Coast
6182,87209,103.0333333,1.717222222,10201103619,Niagara Park - Lisarow,Gosford,Central Coast
6416,88888,106.9333333,1.782222222,10201103620,Niagara Park - Lisarow,Gosford,Central Coast
6882,89421,114.7,1.911666667,10201103621,Niagara Park - Lisarow,Gosford,Central Coast
6369,88814,106.15,1.769166667,10201103622,Niagara Park - Lisarow,Gosford,Central Coast
6914,81519,115.2333333,1.920555556,10201103701,Point Clare - Koolewong,Gosford,Central Coast
5320,77865,88.66666667,1.477777778,10201103702,Point Clare - Koolewong,Gosford,Central Coast
5424,78904,90.4,1.506666667,10201103703,Point Clare - Koolewong,Gosford,Central Coast
5535,79095,92.25,1.5375,10201103704,Point Clare - Koolewong,Gosford,Central Coast
5899,79611,98.31666667,1.638611111,10201103705,Point Clare - Koolewong,Gosford,Central Coast
6140,79779,102.3333333,1.705555556,10201103706,Point Clare - Koolewong,Gosford,Central Coast
7056,81815,117.6,1.96,10201103707,Point Clare - Koolewong,Gosford,Central Coast
6313,74984,105.2166667,1.753611111,10201103708,Point Clare - Koolewong,Gosford,Central Coast
5215,75800,86.91666667,1.448611111,10201103709,Point Clare - Koolewong,Gosford,Central Coast
5381,77921,89.68333333,1.494722222,10201103710,Point Clare - Koolewong,Gosford,Central Coast
6502,80788,108.3666667,1.806111111,10201103711,Point Clare - Koolewong,Gosford,Central Coast
5731,78220,95.51666667,1.591944444,10201103712,Point Clare - Koolewong,Gosford,Central Coast
6673,80811,111.2166667,1.853611111,10201103713,Point Clare - Koolewong,Gosford,Central Coast
5607,78235,93.45,1.5575,10201103714,Point Clare - Koolewong,Gosford,Central Coast
7547,97236,125.7833333,2.096388889,10201103801,Saratoga - Davistown,Gosford,Central Coast
7602,98340,126.7,2.111666667,10201103802,Saratoga - Davistown,Gosford,Central Coast
8052,101634,134.2,2.236666667,10201103803,Saratoga - Davistown,Gosford,Central Coast
7975,101052,132.9166667,2.215277778,10201103804,Saratoga - Davistown,Gosford,Central Coast
7852,99806,130.8666667,2.181111111,10201103805,Saratoga - Davistown,Gosford,Central Coast
7987,100513,133.1166667,2.218611111,10201103806,Saratoga - Davistown,Gosford,Central Coast
7864,100032,131.0666667,2.184444444,10201103807,Saratoga - Davistown,Gosford,Central Coast
8287,101331,138.1166667,2.301944444,10201103808,Saratoga - Davistown,Gosford,Central Coast
7753,95041,129.2166667,2.153611111,10201103809,Saratoga - Davistown,Gosford,Central Coast
8602,96231,143.3666667,2.389444444,10201103810,Saratoga - Davistown,Gosford,Central Coast
7543,95000,125.7166667,2.095277778,10201103811,Saratoga - Davistown,Gosford,Central Coast
7371,94793,122.85,2.0475,10201103812,Saratoga - Davistown,Gosford,Central Coast
7350,95160,122.5,2.041666667,10201103813,Saratoga - Davistown,Gosford,Central Coast
7505,95727,125.0833333,2.084722222,10201103814,Saratoga - Davistown,Gosford,Central Coast
7536,96571,125.6,2.093333333,10201103815,Saratoga - Davistown,Gosford,Central Coast
7807,95870,130.1166667,2.168611111,10201103816,Saratoga - Davistown,Gosford,Central Coast
8567,102353,142.7833333,2.379722222,10201103817,Saratoga - Davistown,Gosford,Central Coast
8168,100769,136.1333333,2.268888889,10201103901,Terrigal - North Avoca,Gosford,Central Coast
7564,94761,126.0666667,2.101111111,10201103902,Terrigal - North Avoca,Gosford,Central Coast
7453,95159,124.2166667,2.070277778,10201103903,Terrigal - North Avoca,Gosford,Central Coast
7527,93204,125.45,2.090833333,10201103904,Terrigal - North Avoca,Gosford,Central Coast
7312,93064,121.8666667,2.031111111,10201103905,Terrigal - North Avoca,Gosford,Central Coast
7919,94374,131.9833333,2.199722222,10201103906,Terrigal - North Avoca,Gosford,Central Coast
8307,102326,138.45,2.3075,10201103908,Terrigal - North Avoca,Gosford,Central Coast
7775,95961,129.5833333,2.159722222,10201103909,Terrigal - North Avoca,Gosford,Central Coast
8403,96626,140.05,2.334166667,10201103911,Terrigal - North Avoca,Gosford,Central Coast
7390,94269,123.1666667,2.052777778,10201103912,Terrigal - North Avoca,Gosford,Central Coast
7272,94353,121.2,2.02,10201103913,Terrigal - North Avoca,Gosford,Central Coast
7464,94064,124.4,2.073333333,10201103914,Terrigal - North Avoca,Gosford,Central Coast
8577,97061,142.95,2.3825,10201103915,Terrigal - North Avoca,Gosford,Central Coast
7283,93326,121.3833333,2.023055556,10201103916,Terrigal - North Avoca,Gosford,Central Coast
7557,94234,125.95,2.099166667,10201103917,Terrigal - North Avoca,Gosford,Central Coast
7040,91189,117.3333333,1.955555556,10201103918,Terrigal - North Avoca,Gosford,Central Coast
7115,91080,118.5833333,1.976388889,10201103919,Terrigal - North Avoca,Gosford,Central Coast
7793,97374,129.8833333,2.164722222,10201103920,Terrigal - North Avoca,Gosford,Central Coast
8004,98367,133.4,2.223333333,10201103921,Terrigal - North Avoca,Gosford,Central Coast
7322,92707,122.0333333,2.033888889,10201103922,Terrigal - North Avoca,Gosford,Central Coast
8317,93655,138.6166667,2.310277778,10201103923,Terrigal - North Avoca,Gosford,Central Coast
7211,92930,120.1833333,2.003055556,10201103924,Terrigal - North Avoca,Gosford,Central Coast
7100,91342,118.3333333,1.972222222,10201103925,Terrigal - North Avoca,Gosford,Central Coast
8049,99390,134.15,2.235833333,10201103926,Terrigal - North Avoca,Gosford,Central Coast
8370,101686,139.5,2.325,10201103927,Terrigal - North Avoca,Gosford,Central Coast
7927,96335,132.1166667,2.201944444,10201103928,Terrigal - North Avoca,Gosford,Central Coast
8190,94661,136.5,2.275,10201103929,Terrigal - North Avoca,Gosford,Central Coast
9587,104717,159.7833333,2.663055556,10201103930,Terrigal - North Avoca,Gosford,Central Coast
8006,96364,133.4333333,2.223888889,10201103931,Terrigal - North Avoca,Gosford,Central Coast
5597,76228,93.28333333,1.554722222,10201104001,Umina - Booker Bay - Patonga,Gosford,Central Coast
5768,80304,96.13333333,1.602222222,10201104002,Umina - Booker Bay - Patonga,Gosford,Central Coast
6333,80793,105.55,1.759166667,10201104003,Umina - Booker Bay - Patonga,Gosford,Central Coast
6268,81043,104.4666667,1.741111111,10201104004,Umina - Booker Bay - Patonga,Gosford,Central Coast
6306,81097,105.1,1.751666667,10201104005,Umina - Booker Bay - Patonga,Gosford,Central Coast
5630,79577,93.83333333,1.563888889,10201104006,Umina - Booker Bay - Patonga,Gosford,Central Coast
5599,78649,93.31666667,1.555277778,10201104007,Umina - Booker Bay - Patonga,Gosford,Central Coast
5646,80311,94.1,1.568333333,10201104009,Umina - Booker Bay - Patonga,Gosford,Central Coast
5930,80815,98.83333333,1.647222222,10201104010,Umina - Booker Bay - Patonga,Gosford,Central Coast
5537,78886,92.28333333,1.538055556,10201104011,Umina - Booker Bay - Patonga,Gosford,Central Coast
6001,79909,100.0166667,1.666944444,10201104012,Umina - Booker Bay - Patonga,Gosford,Central Coast
5741,76968,95.68333333,1.594722222,10201104013,Umina - Booker Bay - Patonga,Gosford,Central Coast
5675,78732,94.58333333,1.576388889,10201104014,Umina - Booker Bay - Patonga,Gosford,Central Coast
6943,89253,115.7166667,1.928611111,10201104015,Umina - Booker Bay - Patonga,Gosford,Central Coast
7678,96256,127.9666667,2.132777778,10201104016,Umina - Booker Bay - Patonga,Gosford,Central Coast
5967,77656,99.45,1.6575,10201104017,Umina - Booker Bay - Patonga,Gosford,Central Coast
5615,76780,93.58333333,1.559722222,10201104018,Umina - Booker Bay - Patonga,Gosford,Central Coast
5582,77132,93.03333333,1.550555556,10201104019,Umina - Booker Bay - Patonga,Gosford,Central Coast
5662,77517,94.36666667,1.572777778,10201104020,Umina - Booker Bay - Patonga,Gosford,Central Coast
5884,78241,98.06666667,1.634444444,10201104021,Umina - Booker Bay - Patonga,Gosford,Central Coast
5536,77622,92.26666667,1.537777778,10201104022,Umina - Booker Bay - Patonga,Gosford,Central Coast
5781,78108,96.35,1.605833333,10201104023,Umina - Booker Bay - Patonga,Gosford,Central Coast
6013,78587,100.2166667,1.670277778,10201104024,Umina - Booker Bay - Patonga,Gosford,Central Coast
5568,77115,92.8,1.546666667,10201104025,Umina - Booker Bay - Patonga,Gosford,Central Coast
5867,78073,97.78333333,1.629722222,10201104026,Umina - Booker Bay - Patonga,Gosford,Central Coast
5527,76431,92.11666667,1.535277778,10201104027,Umina - Booker Bay - Patonga,Gosford,Central Coast
6235,79873,103.9166667,1.731944444,10201104028,Umina - Booker Bay - Patonga,Gosford,Central Coast
