SA1_MAINCODE_2016,Area (sq km),Nearest Centrelink office,Distance (km),Total travel time (min),Travel time decile
10104101715,4.8222,Batemans Bay,6993.816658,15.9,8
10104101716,0.3778,Batemans Bay,1838.319661,8.1,4
10104101717,0.5106,Batemans Bay,1201.608867,5.4,2
10104101718,0.7002,Batemans Bay,1613.256559,4.2,1
10104101719,0.3669,Batemans Bay,6263.194193,14.1,8
10104101720,1.1166,Batemans Bay,3315.039287,7.4,3
10104101721,0.2791,Batemans Bay,1991.302005,7.9,4
10104101722,0.745,Batemans Bay,2383.691068,8.4,4
10104101801,0.5012,Batemans Bay,8938.786141,11.8,6
10104101802,0.6887,Batemans Bay,8332.079372,11.3,6
10104101803,12.4054,Batemans Bay,8789.743376,14.3,8
10104101804,0.3057,Batemans Bay,6545.619123,11.2,6
10104101805,1.586,Batemans Bay,5474.804472,9.1,5
10104101806,0.2747,Batemans Bay,6350.998718,12.1,7
10104101807,0.3012,Batemans Bay,5765.284123,11.4,6
10104101808,0.2726,Batemans Bay,5829.627428,12.8,7
10104101809,0.3184,Batemans Bay,5570.427453,11,6
10104101810,0.1985,Batemans Bay,5239.152374,14.7,8
10104101811,0.4071,Batemans Bay,5088.319924,10.3,5
10104101812,0.5799,Batemans Bay,4674.806769,8.4,4
10104101813,6.4624,Batemans Bay,12654.92973,19.2,9
10104101814,0.5283,Batemans Bay,10965.8618,16.1,8
10104101815,1.3513,Batemans Bay,9993.209085,15.4,8
10104101816,0.5311,Batemans Bay,9975.464032,14.9,8
10104101817,0.8406,Batemans Bay,9240.71443,13.9,7
10104101818,0.3435,Batemans Bay,4575.131003,8.2,4
10104101819,1.2798,Batemans Bay,3829.263847,6.4,2
10104101820,0.1433,Batemans Bay,3409.729965,6.7,3
10104101821,0.1204,Batemans Bay,3651.145755,7.7,3
10104101822,0.4454,Batemans Bay,3855.394046,8,4
10104101823,0.5683,Batemans Bay,2883.55435,5.9,2
10104101824,0.141,Batemans Bay,8522.166268,12.4,7
10104101901,0.4007,Bega,407.5512948,2.1,1
10104101902,0.5138,Bega,301.9794617,1.8,1
10104101903,0.3161,Bega,546.9011589,2.4,1
10104101904,0.2772,Bega,907.8977915,3.4,1
10104101905,0.3103,Bega,1365.153894,4,1
10104101906,0.8195,Bega,1718.965702,6,2
10104101907,0.4277,Bega,1704.031827,5.1,2
10104101909,0.9378,Bega,1354.57575,3.1,1
10104101911,0.9918,Bega,14288.51841,18.7,9
10104101912,0.5775,Bega,13675.15106,17.8,9
10104101913,0.3217,Bega,13413.08558,22.3,9
10104101914,14.5843,Bega,10116.83994,14,8
10104101915,31.4162,Bega,9389.501555,12.8,7
10104101916,41.3091,Bega,14571.08694,21,9
10104101917,31.2157,Bega,4702.799467,7.8,4
10104101918,5.996,Bega,2282.633532,5.5,2
10104101919,39.7738,Bega,6726.477257,16.8,8
10104101920,0.4182,Bega,970.7342051,3.7,1
10104101921,0.681,Bega,2030.421028,5.6,2
10104101922,4.4591,Bega,12098.2255,26.8,9
10104101923,8.151,Bega,1539.129192,5.2,2
10104102001,63.9863,Bega,11510.08188,13.3,7
10104102002,70.5145,Bega,17391.93919,17.2,8
10104102003,0.6066,Bega,17703.66022,16,8
10104102004,112.9244,Bega,28539.95802,32.1,10
10104102005,971.6269,Bega,66925.45239,73.3,10
