SA1_MAINCODE_2016,Area (sq km),Nearest Centrelink office,Distance (km),Walk time (min),Transit time (min),Wait time (min),Total travel time (min),Number of transfers,Travel time decile
30203103926,0.1574,Nundah,7492.57554,1,32,0,33,0,7
31305137709,0.211,Margate,2396.657072,1,7,0,8,0,1
30701117306,0.5417,Goondiwindi,107.775963,1,0,0,1,0,1
50102125308,0.2725,Bunbury,1286.205544,1,6,0,7,0,1
60105102817,0.1498,Hobart,2399.330968,1,21,0,22,0,4
10701154622,0.1155,Wollongong,6342.579993,1,17,0,19,0,3
20503109321,0.541,Wonthaggi,12730.23898,1,15,0,16,0,2
31305137802,0.282,Margate,1667.0505,1,4,0,5,0,1
31305138033,0.1659,Margate,2147.8396,1,23,0,24,0,5
50301103520,0.2379,Fremantle,8351.796548,1,49,2,52,1,10
60106103522,0.4714,Sorell,102.0979513,1,0,0,1,0,1
40304107421,0.1702,Noarlunga,2611.584906,1,11,0,12,0,1
60105103312,0.1649,Hobart,871.1941539,1,8,0,9,0,1
10201102922,1.3803,Ettalong,4627.078512,1,23,0,24,0,5
10704154822,0.0393,Wollongong,1062.631904,1,11,0,12,0,1
10602111734,0.2203,Maitland,2270.120214,1,15,0,16,0,2
20503109308,0.2122,Wonthaggi,25058.5012,1,40,0,41,0,9
31802147512,0.2328,Townsville Jobseekers,4540.365226,1,35,0,36,0,8
10602111723,0.3822,Maitland,4076.816881,1,22,0,23,0,4
50301103533,0.3863,Fremantle,7884.564947,1,51,2,54,1,10
10602111413,0.415,Maitland,3699.207704,1,15,0,17,0,2
11503130015,0.3515,Hawkesbury,13156.53891,1,31,16,48,1,9
10201102925,0.3061,Ettalong,3120.626783,1,13,0,15,0,2
30903123838,0.1067,Biggera Waters,610.1678096,1,3,0,5,0,1
10202105319,0.2003,The Entrance,2370.311782,1,6,0,8,0,1
10701154515,0.1852,Wollongong,5070.228891,1,11,0,13,0,1
11703133607,0.022,Redfern,657.7352924,1,5,0,7,0,1
30902123430,0.0971,Palm Beach,880.9479844,1,2,0,4,0,1
20703116329,0.1693,Box Hill,1302.674312,2,5,0,7,0,1
11103122320,0.164,Raymond Terrace,7660.465912,2,16,0,18,0,3
12401145233,0.2845,Katoomba,3025.364036,2,16,0,18,0,3
30908126112,0.6434,Seniors & Carers Robina,120.244474,2,0,0,2,0,1
10601110822,0.5758,Cessnock,4371.244166,2,17,0,19,0,3
11103122918,0.0569,Newcastle,111.5722068,2,0,0,2,0,1
11904138135,0.0707,Rockdale,842.8102051,2,3,0,5,0,1
30903123836,0.1441,Biggera Waters,955.3097113,2,6,0,8,0,1
50201102508,0.4104,Mandurah,101.4364008,2,0,0,2,0,1
10701154614,0.2982,Wollongong,7203.282988,2,41,0,43,0,9
11904138104,0.0926,Rockdale,110.7437445,2,0,0,2,0,1
10202105321,0.4892,The Entrance,1161.742868,2,3,0,5,0,1
20701114901,0.1999,Camberwell,1170.745341,2,4,0,6,0,1
30203103928,0.7108,Nundah,5242.430128,2,25,0,27,0,6
60402108608,0.1779,Devonport,3243.954139,2,25,0,26,0,5
31002128231,0.2905,Ipswich,8288.144612,2,22,0,24,0,5
10201102812,0.2988,Ettalong,9626.845232,2,64,28,94,1,10
10601110813,0.2229,Cessnock,1157.902087,2,7,0,9,0,1
20302103805,0.2259,Corio,105.6910616,2,0,0,2,0,1
30102100903,0.2731,Cleveland,9442.17035,2,23,0,25,0,5
31903151435,30.2505,Gympie,17263.73964,2,35,0,37,0,8
11502129752,3.0823,Rouse Hill,4103.768611,2,10,0,12,0,1
31305137707,0.2059,Margate,2950.552613,2,8,0,10,0,1
50704117729,0.1428,Fremantle,4239.210696,2,20,0,22,0,4
80104104404,0.14,Gungahlin,2516.398647,2,9,0,11,0,1
